district,name,match,min_dist,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,match20,match21,match22,match23,match24,match25,match26,match27,match28,match29,match30,match31,match32,match33,match34,match35,match36,match37,match38,match39,match40,match41,match42,match43,match44,match45
MDG11101,soavinandriana,3e/arrondissement,10,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,ambohimanarina,,10,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,talatamaty,Ambohidratrimo,10,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,firaisana/iii,3e/arrondissement,10,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo/i,1er/arrondissement,11,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo/ii,2e/arrondissement,11,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo/vi,6e/arrondissement,11,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo/iii,3e/arrondissement,12,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo/renivohitra,1er/arrondissement,18,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo//renivohitra,1er/arrondissement,19,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
