"names_tomatch","nest","fixed_best","min_fixed","partial_best","min_partial","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"anjozorobe","MG11107","anjozorobe",0,"anjozorobe",0,"anjozorobe","analaroa","antanetibe","beronono","androvakely","mangamila","betatao","alakamisy","ambohimirary","marotsipoy","ambongamarina","tsarasaotra","belanitra","ambatomanoina","amboasary nord","amparatanjona","ambohibary vohilena","ambohimanarina marovazaha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tsiroanomandidy fihaonana","MG14111","tsiroanomandidy fihaonana",0,"tsiroanomandidy fihaonana",0,"tsiroanomandidy fihaonana","tsiroanomandidy ville","tsinjoarivo imanga","ankadinondry sakay","soanierana","ambalanirana","maritampona","ankerana avaratra","miandrarivo","bemahatazana","fierenana","maroharona","ambatolampy","anosy","ambararatabe","mahasolo","belobaka","bevato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anjoma","MG31301","anjoma",0,"anjoma",0,"anjoma","ambodimanga","morarano","tanambao v","ankirihiry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tanambao v","MG31301","tanambao v",0,"tanambao v",0,"tanambao v","anjoma","morarano","ankirihiry","ambodimanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambodimanga","MG31301","ambodimanga",0,"ambodimanga",0,"ambodimanga","anjoma","morarano","ankirihiry","tanambao v",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andekaleka","MG31306","andekaleka",0,"andekaleka",0,"andekaleka","anjahamana","fanasana","mahatsara","andovoranto","maroseranana","brickaville","anivorano est","fetraomby","ampasimbe","ambalarondra","ambohimanana","ambinaninony","ranomafana est","lohariandava","vohitranivona","vohipeno razanaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ampasimbe","MG31306","ampasimbe",0,"ampasimbe",0,"ampasimbe","mahatsara","fetraomby","fanasana","anjahamana","brickaville","ambinaninony","ambohimanana","ambalarondra","andekaleka","andovoranto","maroseranana","lohariandava","vohitranivona","anivorano est","ranomafana est","vohipeno razanaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lohariandava","MG31306","lohariandava",0,"lohariandava",0,"lohariandava","vohitranivona","mahatsara","fanasana","maroseranana","ambohimanana","anjahamana","ambalarondra","andovoranto","fetraomby","ampasimbe","andekaleka","brickaville","anivorano est","ambinaninony","vohipeno razanaka","ranomafana est",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ranomafana est","MG31306","ranomafana est",0,"ranomafana est",0,"ranomafana est","anivorano est","fanasana","maroseranana","anjahamana","andovoranto","andekaleka","ambohimanana","mahatsara","ambinaninony","ampasimbe","ambalarondra","lohariandava","brickaville","vohitranivona","fetraomby","vohipeno razanaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brickaville","MG31306","brickaville",0,"brickaville",0,"brickaville","ampasimbe","andekaleka","vohitranivona","mahatsara","ambinaninony","fetraomby","fanasana","anjahamana","anivorano est","andovoranto","ambalarondra","maroseranana","lohariandava","ambohimanana","ranomafana est","vohipeno razanaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
