"distcode","district","commcode","commune","long","lat","type","pop_dens","clinic_id"
"MG51521","Benenitra","MG51521032","Ambalavato",45.405,-23.5849,"CSB2",52.9586791992188,1590
"MG51521","Benenitra","MG51521031","Ianapera",45.1421,-23.6197,"CSB2",217.582855224609,1592
"MG51521","Benenitra","MG51521050","Ehara",44.8329,-23.4836,"CSB2",164.997833251953,1593
"MG51503","Beroroha","MG51503011","Beroroha",45.1677,-21.6782,"CSB2",573.963928222656,1595
"MG51503","Beroroha","MG51503070","Marerano",44.6942,-21.3163,"CSB2",7.00728178024292,1597
"MG51503","Beroroha","MG51503091","Mandronarivo",45.6032,-21.1544,"CSB2",12.4284477233887,1599
"MG51503","Beroroha","MG51503093","Sakena",45.7577,-20.9529,"CSB2",6.25753259658813,1600
"MG51503","Beroroha","MG51503092","Tanamary",45.4966,-21.3816,"CSB2",6.3248291015625,1601
"MG51506","Betioky Atsimo","MG51506013","Ambatry Mitsinjo",44.4064,-23.8535,"CSB2",135.06315612793,1602
"MG51506","Betioky Atsimo","MG51506112","Besely",44.4615,-23.3766,"CSB2",4.45359992980957,1603
"MG51506","Betioky Atsimo","MG51506014","Ankazomanga Ouest",44.1362,-23.6534,"CSB2",85.382209777832,1604
"MG51506","Betioky Atsimo","MG51506192","Ankilivalo",44.6329,-23.2761,"CSB2",31.9743785858154,1605
"MG51506","Betioky Atsimo","MG51506070","Antohabato",44.4807,-23.5594,"CSB2",728.123962402344,1606
"MG51506","Betioky Atsimo","MG51506130","Ankazombalala",44.6902,-23.5907,"CSB2",152.086578369141,1607
"MG51506","Betioky Atsimo","MG51506030","Beantake",44.3345,-23.8253,"CSB2",79.9960327148438,1608
"MG51506","Betioky Atsimo","MG51506311","Belamoty",44.8052,-23.5588,"CSB2",674.657897949219,1609
"MG51506","Betioky Atsimo","MG51506150","Bezaha",44.5033,-23.4996,"CSB2",1083.2255859375,1611
"MG51506","Betioky Atsimo","MG51506230","Fenoandala",44.6838,-23.5309,"CSB2",852.906799316406,1612
"MG51506","Betioky Atsimo","MG51506330","Lazarivo",44.9917,-23.918,"CSB2",17.3326358795166,1613
"MG51506","Betioky Atsimo","MG51506015","Maroarivo Ankazomanga",44.0956,-23.7988,"CSB2",319.372985839844,1614
"MG51506","Betioky Atsimo","MG51506313","Montifeno",44.7567,-23.4802,"CSB2",643.453674316406,1615
"MG51506","Betioky Atsimo","MG51506012","Sakamasay",44.6426,-23.8729,"CSB2",20.8214664459229,1616
"MG51506","Betioky Atsimo","MG51506270","Salobe",44.6975,-23.5258,"CSB2",552.678100585938,1617
"MG51506","Betioky Atsimo","MG51506210","Soamanonga",44.7909,-23.8789,"CSB2",88.5277938842773,1618
"MG51506","Betioky Atsimo","MG51506251","Soaserana",44.9066,-23.8789,"CSB2",104.76097869873,1619
"MG51506","Betioky Atsimo","MG51506090","Tameantsoa",44.3011,-23.5464,"CSB2",709.115966796875,1620
"MG51506","Betioky Atsimo","MG51506111","Tongobory",44.3255,-23.5339,"CSB2",25.130952835083,1621
"MG51506","Betioky Atsimo","MG51506113","Vatolatsaka",44.296,-23.3202,"CSB2",47.6553573608398,1622
"MG51506","Betioky Atsimo","MG51506170","Manalobe",44.5568,-23.4488,"CSB2",130.331283569336,1623
"MG51504","Morombe","MG51504050","Ambahikily",43.6713,-21.6046,"CSB2",548.489685058594,1624
"MG51504","Morombe","MG51504130","Antanimieva",43.7735,-22.2465,"CSB2",656.573364257812,1626
"MG51504","Morombe","MG51504070","Antongo Vaovao",43.5844,-21.4054,"CSB2",285.571838378906,1627
"MG51504","Morombe","MG51504150","Basibasy",43.6613,-22.1786,"CSB2",165.614761352539,1628
"MG51504","Morombe","MG51504110","Befandriana Sud",43.8914,-22.1075,"CSB2",165.520172119141,1629
"MG51504","Morombe","MG51504090","Nosy Ambositra",43.9812,-21.9197,"CSB2",242.795257568359,1632
"MG51512","Sakaraha","MG51512130","Andranolava",44.6816,-22.645,"CSB2",72.6082916259766,1634
"MG51512","Sakaraha","MG51512090","Bereketa",44.4034,-23.1158,"CSB2",211.729598999023,1635
"MG51512","Sakaraha","MG51512150","Ambinany",44.916,-22.745,"CSB2",2.66077923774719,1636
"MG51512","Sakaraha","MG51512050","Mahaboboka",44.3468,-22.8963,"CSB2",492.806732177734,1637
"MG51512","Sakaraha","MG51512112","Mihavatsy",44.1952,-22.9488,"CSB2",158.346725463867,1638
"MG51512","Sakaraha","MG51512111","Andamasiny Vineta",44.2517,-23.0604,"CSB2",228.168167114258,1640
"MG52516","Ambovombe-Androy","MG52516033","Ambohimalaza",45.9718,-25.1103,"CSB2",236.558288574219,1641
"MG52516","Ambovombe-Androy","MG52516031","Ambanisarika",45.9814,-25.1958,"CSB2",282.076782226562,1642
"MG52516","Ambovombe-Androy","MG52516092","Ambazoa",45.8952,-25.3259,"CSB2",309.189361572266,1643
"MG52516","Ambovombe-Androy","MG52516050","Ambonaivo",45.9252,-25.2243,"CSB2",54.8436050415039,1644
"MG52516","Ambovombe-Androy","MG52516091","Ambondro",45.8232,-25.2163,"CSB2",405.788757324219,1645
"MG52516","Ambovombe-Androy","MG52516152","Ampamata",45.6357,-24.4736,"CSB2",151.750686645508,1646
"MG52516","Ambovombe-Androy","MG52516151","Andalatanosy",45.5956,-24.6684,"CSB2",827.792724609375,1647
"MG52516","Ambovombe-Androy","MG52516014","Anjeky Ankilikira",46.239,-25.0583,"CSB2",61.3408241271973,1648
"MG52516","Ambovombe-Androy","MG52516130","Antanimora Atsimo",45.6624,-24.8145,"CSB2",228.857650756836,1649
"MG52516","Ambovombe-Androy","MG52516013","Erada",45.9451,-25.2876,"CSB2",608.359375,1650
"MG52516","Ambovombe-Androy","MG52516190","Imanombo",45.8216,-24.4345,"CSB2",908.180603027344,1651
"MG52516","Ambovombe-Androy","MG52516170","Jafaro",45.5176,-24.9277,"CSB2",101.849151611328,1652
"MG52516","Ambovombe-Androy","MG52516072","Maroalopoty",46.2534,-25.1721,"CSB2",525.332275390625,1654
"MG52516","Ambovombe-Androy","MG52516112","Marovato Befeno",45.6872,-25.1334,"CSB2",166.906036376953,1655
"MG52516","Ambovombe-Androy","MG52516111","Sihanamaro",45.7727,-25.1814,"CSB2",211.381469726562,1656
"MG52518","Bekily","MG52518151","Ambahita",45.2608,-24.0075,"CSB2",101.458786010742,1657
"MG52518","Bekily","MG52518091","Ambatosola",45.3749,-24.0947,"CSB2",77.8517150878906,1658
"MG52518","Bekily","MG52518290","Anivorano Mitsinjo",45.6233,-24.3511,"CSB2",73.1990356445312,1659
"MG52518","Bekily","MG52518050","Anja Nord",45.2813,-24.2694,"CSB2",244.07731628418,1660
"MG52518","Bekily","MG52518031","Ankaranabo Nord",45.2859,-24.195,"CSB2",356.717926025391,1661
