ran,timestamp,path,R.version,platform,running,data.table,gdistance,Matrix,igraph,rgdal,raster,sp,malariaAtlas,ggplot2,lubridate,dplyr,doParallel,iterators,foreach,rgeos,wpgpDownloadR,RCurl,bitops,forcats,stringr,purrr,readr,tidyr,tibble,tidyverse,glue,triangle,doRNG,rngtools,pkgmaker,registry,magrittr,cowplot,patchwork,lme4,stringdist,beepr,rjags,coda,microbenchmark,rasterVis,latticeExtra,RColorBrewer,lattice,doMPI,Rmpi,rmapshaper,here,knitr,ggmcmc,ggforce,ggridges,jobtime,geosphere,ggsn,jobtime_mins,max_mem_mb,plotly,sf,fasterize
##------ Sun Mar 22 20:30:31 2020 ------##,20200322_203031,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 20:40:52 2020 ------##,20200322_204052,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 20:42:06 2020 ------##,20200322_204206,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 20:44:31 2020 ------##,20200322_204431,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 20:49:13 2020 ------##,20200322_204913,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 20:53:32 2020 ------##,20200322_205332,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 20:58:19 2020 ------##,20200322_205819,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 20:59:58 2020 ------##,20200322_205958,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 21:10:25 2020 ------##,20200322_211025,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 21:11:23 2020 ------##,20200322_211123,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 21:28:51 2020 ------##,20200322_212851,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 11:17:22 2020 ------##,20200323_111722,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 11:19:16 2020 ------##,20200323_111916,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 11:46:02 2020 ------##,20200323_114602,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 11:50:49 2020 ------##,20200323_115049,R/06_sensitivity/04_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 11:52:05 2020 ------##,20200323_115205,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 11:56:14 2020 ------##,20200323_115614,R/06_sensitivity/04_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 11:57:06 2020 ------##,20200323_115706,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 12:04:34 2020 ------##,20200323_120434,R/06_sensitivity/04_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 12:07:52 2020 ------##,20200323_120752,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 12:27:19 2020 ------##,20200323_122719,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 12:29:51 2020 ------##,20200323_122951,R/06_sensitivity/04_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 12:30:37 2020 ------##,20200323_123037,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 12:32:27 2020 ------##,20200323_123227,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 12:51:38 2020 ------##,20200323_125138,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 13:20:56 2020 ------##,20200323_132056,R/06_sensitivity/04_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 14:25:09 2020 ------##,20200323_142509,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 14:42:37 2020 ------##,20200323_144237,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 15:01:10 2020 ------##,20200323_150110,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 23 15:06:34 2020 ------##,20200323_150634,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Mar 27 12:21:50 2020 ------##,20200327_122150,R/SM5?.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",,,,0.3.1,0.5.1,,"","",,,"","",""
##------ Fri Mar 27 12:29:21 2020 ------##,20200327_122921,R/SM5?.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",,,,0.3.1,0.5.1,,"","",,,"","",""
##------ Mon Mar 30 19:30:47 2020 ------##,20200330_193047,R/SM5_shifts.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",,,,0.3.1,0.5.1,,"","",,,"","",""
##------ Mon Mar 30 19:40:44 2020 ------##,20200330_194044,R/SM5_shifts.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",,,,0.3.1,0.5.1,,"","",,,"","",""
##------ Tue Mar 31 10:41:05 2020 ------##,20200331_104105,R/figures/SM4_exprange.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,"","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Apr  6 10:49:22 2020 ------##,20200406_104922,R/figures/M2_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Apr  6 10:50:12 2020 ------##,20200406_105012,R/M5_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Apr  6 10:52:21 2020 ------##,20200406_105221,R/figures/SM3_bitemods.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,"","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Apr  6 10:52:25 2020 ------##,20200406_105225,R/figures/SM4_exprange.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,"","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Apr  6 10:56:16 2020 ------##,20200406_105616,R/SM5_shifts.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",,,,"",0.5.1,,"","",,,"","",""
##------ Mon Apr  6 10:56:51 2020 ------##,20200406_105651,R/figures/SM6_burden_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Apr  6 10:57:38 2020 ------##,20200406_105738,R/figures/SM6_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Apr 10 12:00:28 2020 ------##,20200410_120028,R/figures/SM4_exprange.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",1.5,1.0.0,"","","",,"","","",,"","","","","","",0.1,1.27,,"","",,"","",,,"","",""
##------ Fri Apr 10 13:34:58 2020 ------##,20200410_133458,R/figures/SM4_exprange.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",1.5,1.0.0,"","","",,"","","",,"","","","","","",0.1,1.27,,"","",,"","",,,"","",""
##------ Fri Apr 10 14:22:38 2020 ------##,20200410_142238,R/SM5_shifts.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",1.5,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",0.1,1.27,,"",0.5.1,,"","",,,"","",""
##------ Tue Apr 21 15:06:39 2020 ------##,20200421_150639,R/03_bitemodels/03_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Tue Apr 21 15:28:25 2020 ------##,20200421_152825,R/03_bitemodels/03_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",0.919302217165629,"","",,,"","",""
##------ Tue Apr 21 15:52:45 2020 ------##,20200421_155245,R/03_bitemodels/03_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,1.0.0,"","","",,"","","",,"","","","","","",,,,"","",1.20248808463415,"","",,,"","",""
##------ Tue Apr 21 16:01:45 2020 ------##,20200421_160145,R/03_bitemodels/03_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",2.3986887494723,"","",,,"","",""
##------ Thu Apr 23 15:32:35 2020 ------##,20200423_153235,R/03_bitemodels/03_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,1.0.0,"","","",,"","","",,"","","","","","",,,,"","",3.51145906845729,"","",,,"","",""
##------ Thu Apr 23 19:52:24 2020 ------##,20200423_195224,R/figures/SM3_bitemods.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,"","","",,"",0.19-3,"",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Apr 23 19:54:13 2020 ------##,20200423_195413,R/figures/SM3_bitemods.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,"","","",,"",0.19-3,"",,"","","","","","",,,,"","",0.219862381617228,"","",,,"","",""
##------ Thu Apr 23 19:56:00 2020 ------##,20200423_195600,R/figures/SM3_bitemods.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,"","","",,"",0.19-3,"",,"","","","","","",,,,"","",1.50532096624374,"","",,,"","",""
