ran,timestamp,path,R.version,platform,running,data.table,gdistance,Matrix,igraph,rgdal,raster,sp,malariaAtlas,ggplot2,lubridate,dplyr,doParallel,iterators,foreach,rgeos,wpgpDownloadR,RCurl,bitops,forcats,stringr,purrr,readr,tidyr,tibble,tidyverse,glue,triangle,doRNG,rngtools,pkgmaker,registry,magrittr,cowplot,patchwork,lme4,stringdist,beepr,rjags,coda,microbenchmark,rasterVis,latticeExtra,RColorBrewer,lattice,doMPI,Rmpi,rmapshaper,here,knitr,ggmcmc,ggforce,ggridges,jobtime,geosphere,ggsn,jobtime_mins,max_mem_mb,plotly,sf,fasterize
##------ Sat Feb 15 11:22:35 2020 ------##,20200215_112235,R/04_addclinics/04_postprocess_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 13:09:33 2020 ------##,20200215_130933,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 13:13:55 2020 ------##,20200215_131355,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",0.46,0.6-28,1.1-2,0.20-38,"","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 14:06:42 2020 ------##,20200215_140642,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"","",1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 14:20:32 2020 ------##,20200215_142032,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"","",1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 14:21:10 2020 ------##,20200215_142110,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 14:23:53 2020 ------##,20200215_142353,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,0.5-2,"","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 14:50:59 2020 ------##,20200215_145059,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"","",1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 14:57:37 2020 ------##,20200215_145737,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 14:58:23 2020 ------##,20200215_145823,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
