"district","distcode","commune","commcode","clinic_id","long","lat"
"Antsirabe I","MG12108","Antsenakely Andraikiba","MG12108001",281,47.0283,-19.8721
"Antsirabe I","MG12108","Antsenakely Andraikiba","MG12108001",282,47.0275,-19.8717
"Antsirabe I","MG12108","Ampatana Mandriankeniheny","MG12108002",283,47.0035,-19.9325
"Antsirabe I","MG12108","Antsenakely Andraikiba","MG12108001",284,47.0053,-19.867
"Antsirabe I","MG12108","Manodidina Ny Gara Ambilombe","MG12108005",285,47.0381,-19.8489
"Antsirabe I","MG12108","Mahazoarivo Avarabohitra","MG12108006",286,47.0319,-19.8533
"Andapa","MG72712","Matsohely","MG72712170",287,49.5671,-14.6197
"Andapa","MG72712","Ambalamanasy II","MG72712210",288,49.6078,-14.5514
"Andapa","MG72712","Ankiakabe Nord","MG72712050",289,49.5913,-14.6737
"Andapa","MG72712","Belaoka Marovato","MG72712070",290,49.6132,-14.6096
"Andapa","MG72712","Marovato","MG72712110",291,49.6356,-14.6078
"Antalaha","MG72710","Ambalabe","MG72710170",292,50.4222,-15.1609
"Antalaha","MG72710","Ambinanifaho","MG72710190",293,50.1191,-14.6124
"Farafangana","MG25213","Ivandrika","MG25213110",294,47.722,-22.882
"Farafangana","MG25213","Namohora Iaborano","MG25213472",295,47.6399,-22.6279
"Farafangana","MG25213","Ihorombe","MG25213551",296,47.5328,-23.0131
"Farafangana","MG25213","Ivandrika","MG25213110",297,47.726,-22.8805
"Farafangana","MG25213","Mahabo Mananivo","MG25213310",298,47.682,-23.1831
"Farafangana","MG25213","Mahafasa Centre","MG25213170",299,47.6767,-22.688
"Farafangana","MG25213","Mahavelo","MG25213150",300,47.6999,-22.7047
"Farafangana","MG25213","Maheriraty","MG25213290",301,47.6139,-22.7545
"Farafangana","MG25213","Manambotra Atsimo","MG25213130",302,47.8107,-22.9282
"Farafangana","MG25213","Marovandrika","MG25213590",303,47.6659,-22.5178
"Farafangana","MG25213","Sahamadio","MG25213490",304,47.5761,-22.5205
"Farafangana","MG25213","Tangainony","MG25213230",305,47.7432,-22.6995
"Farafangana","MG25213","Vohilengo","MG25213570",306,47.6936,-22.5489
"Farafangana","MG25213","Vohimasy","MG25213030",307,47.7235,-22.8031
"Farafangana","MG25213","Vohitromby","MG25213090",308,47.763,-22.8788
"Befotaka","MG25222","Antaninarenina","MG25222032",309,46.94,-23.9456
"Befotaka","MG25222","Antondabe","MG25222012",310,47.1398,-23.853
"Befotaka","MG25222","Befotaka Sud","MG25222011",311,46.9883,-23.823
