names_tomatch,match,notes,fixed_best,min_fixed,partial_best,min_partial,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114
sakaraha,sakaraha,,sakaraha,0,sakaraha,0,sakaraha,iakora,soalala,antalaha,sambava,isandra,fandriana,analalava,bealanana,kandreho,beroroha,andapa,ankazobe,faratsiho,ambalavao,lalangina,manandriana,ifanadiana,mananjary,befotaka,mahanoro,moramanga,tsaratanana,ankazoabo,beloha,betroka,manja,mahabo,ambanja,betafo,mandoto,vohibato,nosy-varika,ikongo,farafangana,vondrozo,marolambo,vavatenina,mahajanga i,marovoay,mandritsara,maevatanana,besalampy,antsalova,maintirano,toliary-i,bekily,taolagnaro,morondava,vohemar,manjakandriana,andramasina,miarinarivo,soavinandriana,ikalamavony,ambositra,vohipeno,ihosy,ivohibe,vangaindrano,toamasina i,vatomandry,andilamena,mitsinjo,mahajanga ii,antsohihy,mampikony,morombe,toliary-ii,benenitra,tsihombe,miandrivazo,ambilobe,nosy-be,anjozorobe,antsirabe i,ambatolampy,fenoarivobe,fianarantsoa i,manakara atsimo,brickaville,toamasina ii,sainte marie,maroantsetra,amparafaravola,morafenobe,antsiranana i,antanifotsy,antsirabe ii,arivonimamo,ambohimahasoa,ambatondrazaka,anosibe-an'ala,ambatomainty,antsiranana ii,fenerive est,ambato boeni,ambohidratrimo,tsiroanomandidy,ambatofinandrahana,mananara-avaratra,soanierana ivongo,befandriana nord,betioky atsimo,ampanihy ouest,amboasary-atsimo,midongy-atsimo,ambovombe-androy,belo sur tsiribihina,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
miandrivazo,miandrivazo,,miandrivazo,0,miandrivazo,0,miandrivazo,miarinarivo,fandriana,manandriana,mandritsara,maintirano,mandoto,isandra,vondrozo,kandreho,ambalavao,ifanadiana,mananjary,iakora,mahanoro,marolambo,marovoay,mitsinjo,ankazoabo,manja,morondava,mahabo,andapa,ankazobe,manjakandriana,andramasina,arivonimamo,soavinandriana,fenoarivobe,lalangina,vohibato,vangaindrano,toamasina i,ambatondrazaka,andilamena,analalava,mampikony,sakaraha,taolagnaro,ambanja,antalaha,sambava,antsirabe i,betafo,faratsiho,fianarantsoa i,ikalamavony,ikongo,vohipeno,ivohibe,toamasina ii,sainte marie,fenerive est,vavatenina,moramanga,mahajanga i,soalala,befandriana nord,antsohihy,bealanana,maevatanana,tsaratanana,antsalova,beroroha,morombe,benenitra,betroka,ambilobe,ambohidratrimo,anjozorobe,ambatolampy,antanifotsy,antsirabe ii,ambohimahasoa,ambositra,nosy-varika,manakara atsimo,ihosy,farafangana,midongy-atsimo,befotaka,brickaville,vatomandry,maroantsetra,amparafaravola,ambato boeni,mahajanga ii,ambatomainty,morafenobe,toliary-i,toliary-ii,beloha,bekily,nosy-be,vohemar,ambatofinandrahana,mananara-avaratra,soanierana ivongo,besalampy,ampanihy ouest,tsihombe,amboasary-atsimo,antsiranana i,tsiroanomandidy,anosibe-an'ala,betioky atsimo,antsiranana ii,ambovombe-androy,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,antanambao manampontsy,belo sur tsiribihina,port-berge (boriziny-vaovao)
toliary,toliary-i,,toliary-i,2,toliary-i,0,toliary-i,toliary-ii,vohibato,soalala,bekily,taolagnaro,vohemar,betafo,isandra,ambositra,mananjary,vohipeno,ihosy,ivohibe,iakora,vatomandry,marovoay,antsohihy,morombe,beloha,manja,mahabo,nosy-be,antalaha,sambava,andapa,ambatolampy,mandoto,fandriana,ikongo,vondrozo,befotaka,toamasina i,mahanoro,marolambo,moramanga,mitsinjo,analalava,bealanana,mampikony,besalampy,sakaraha,benenitra,tsihombe,betroka,morondava,ambilobe,ambanja,ankazobe,antanifotsy,arivonimamo,miarinarivo,ambalavao,ikalamavony,lalangina,ifanadiana,nosy-varika,toamasina ii,andilamena,mandritsara,kandreho,ambatomainty,antsalova,maintirano,beroroha,ankazoabo,anjozorobe,antsirabe i,faratsiho,fenoarivobe,manandriana,sainte marie,vavatenina,tsaratanana,morafenobe,miandrivazo,ambohidratrimo,andramasina,antsirabe ii,soavinandriana,ambohimahasoa,farafangana,vangaindrano,brickaville,maroantsetra,mahajanga i,ambato boeni,maevatanana,tsiroanomandidy,fenerive est,ambatondrazaka,anosibe-an'ala,mahajanga ii,betioky atsimo,antsiranana i,manjakandriana,fianarantsoa i,midongy-atsimo,amparafaravola,ambovombe-androy,amboasary-atsimo,antsiranana ii,ambatofinandrahana,manakara atsimo,befandriana nord,ampanihy ouest,soanierana ivongo,mananara-avaratra,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
antsalova,antsalova,,antsalova,0,antsalova,0,antsalova,analalava,antalaha,ankazobe,ambalavao,antsohihy,andapa,antsirabe i,betafo,isandra,iakora,andilamena,soalala,ankazoabo,beloha,betroka,ambilobe,ambanja,sambava,anjozorobe,andramasina,antanifotsy,faratsiho,antsirabe ii,mandoto,ambositra,fandriana,mahanoro,marovoay,mitsinjo,mandritsara,bealanana,kandreho,besalampy,maintirano,beroroha,sakaraha,tsihombe,manja,morondava,mahabo,antsiranana i,nosy-be,ambatolampy,miarinarivo,ikalamavony,lalangina,vohibato,manandriana,ifanadiana,nosy-varika,mananjary,ikongo,ihosy,farafangana,vondrozo,befotaka,vatomandry,marolambo,maroantsetra,vavatenina,moramanga,mampikony,maevatanana,tsaratanana,toliary-i,benenitra,bekily,antsiranana ii,arivonimamo,fenoarivobe,vohipeno,ivohibe,vangaindrano,toamasina i,sainte marie,anosibe-an'ala,mahajanga i,ambato boeni,ambatomainty,morafenobe,morombe,toliary-ii,taolagnaro,miandrivazo,vohemar,manjakandriana,fianarantsoa i,ambohimahasoa,brickaville,toamasina ii,amparafaravola,ambatondrazaka,mahajanga ii,soavinandriana,manakara atsimo,fenerive est,ampanihy ouest,ambohidratrimo,tsiroanomandidy,midongy-atsimo,mananara-avaratra,befandriana nord,betioky atsimo,amboasary-atsimo,soanierana ivongo,ambatofinandrahana,ambovombe-androy,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
betafo,betafo,,betafo,0,betafo,0,betafo,befotaka,beloha,bekily,betroka,mahabo,ikongo,beroroha,andapa,ankazobe,mandoto,ambalavao,vohibato,ihosy,iakora,mahanoro,soalala,mitsinjo,bealanana,besalampy,antsalova,manja,ambanja,antalaha,sambava,vohemar,antanifotsy,faratsiho,isandra,vohipeno,ivohibe,vondrozo,marolambo,marovoay,kandreho,maintirano,morafenobe,morombe,ankazoabo,sakaraha,benenitra,ambilobe,nosy-be,ambatolampy,fenoarivobe,lalangina,ambositra,fandriana,mananjary,vatomandry,moramanga,analalava,antsohihy,mampikony,maevatanana,toliary-i,tsihombe,taolagnaro,morondava,anjozorobe,antsirabe i,arivonimamo,miarinarivo,ikalamavony,ifanadiana,farafangana,brickaville,vavatenina,andilamena,ambato boeni,mandritsara,tsaratanana,ambatomainty,betioky atsimo,toliary-ii,miandrivazo,andramasina,antsirabe ii,ambohimahasoa,manandriana,nosy-varika,vangaindrano,toamasina i,sainte marie,mahajanga i,ambohidratrimo,toamasina ii,maroantsetra,fenerive est,amparafaravola,ambatondrazaka,anosibe-an'ala,mahajanga ii,antsiranana i,fianarantsoa i,midongy-atsimo,befandriana nord,ampanihy ouest,ambovombe-androy,antsiranana ii,manjakandriana,soavinandriana,tsiroanomandidy,manakara atsimo,amboasary-atsimo,soanierana ivongo,ambatofinandrahana,mananara-avaratra,belo sur tsiribihina,antanambao manampontsy,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
ambato boina,ambato boeni,,ambato boeni,2,ambato boeni,2,ambato boeni,ambatomainty,ambatolampy,ambalavao,ambositra,vavatenina,ambatondrazaka,ankazoabo,ambilobe,ambanja,ankazobe,andramasina,lalangina,manandriana,mahanoro,marovoay,mampikony,maevatanana,antsalova,beroroha,betroka,mahabo,sambava,manjakandriana,anjozorobe,betafo,antanifotsy,faratsiho,mandoto,miarinarivo,ambohimahasoa,fandriana,ifanadiana,iakora,farafangana,befotaka,vatomandry,marolambo,moramanga,andilamena,mitsinjo,analalava,antsohihy,bealanana,tsaratanana,maintirano,morombe,beloha,manja,morondava,antalaha,andapa,ambohidratrimo,antsirabe i,antsirabe ii,arivonimamo,ikalamavony,vohibato,isandra,ambatofinandrahana,nosy-varika,mananjary,ikongo,vohipeno,ivohibe,vangaindrano,vondrozo,toamasina i,toamasina ii,sainte marie,maroantsetra,amparafaravola,mahajanga i,soalala,mahajanga ii,mandritsara,morafenobe,ampanihy ouest,sakaraha,benenitra,tsihombe,ambovombe-androy,bekily,taolagnaro,miandrivazo,soavinandriana,fenoarivobe,manakara atsimo,ihosy,brickaville,kandreho,besalampy,toliary-i,betioky atsimo,toliary-ii,amboasary-atsimo,antsiranana i,nosy-be,vohemar,tsiroanomandidy,fianarantsoa i,fenerive est,anosibe-an'ala,antsiranana ii,midongy-atsimo,soanierana ivongo,befandriana nord,mananara-avaratra,belo sur tsiribihina,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
tsiroamandidy,tsiroanomandidy,,tsiroanomandidy,2,tsiroanomandidy,2,tsiroanomandidy,vatomandry,tsaratanana,andramasina,moramanga,tsihombe,antsiranana ii,antsiranana i,antsirabe i,antsirabe ii,mandoto,ikalamavony,lalangina,isandra,ifanadiana,mananjary,farafangana,toamasina i,toamasina ii,soalala,marovoay,morondava,manjakandriana,faratsiho,arivonimamo,miarinarivo,soavinandriana,manandriana,ikongo,ihosy,ivohibe,mahanoro,marolambo,sainte marie,maroantsetra,vavatenina,andilamena,mahajanga i,antsohihy,bealanana,mampikony,maevatanana,besalampy,ambatomainty,maintirano,morafenobe,toliary-i,morombe,sakaraha,toliary-ii,taolagnaro,betroka,manja,ambanja,sambava,andapa,ambatolampy,antanifotsy,fenoarivobe,fianarantsoa i,ambalavao,ambohimahasoa,ambositra,fandriana,nosy-varika,iakora,vangaindrano,midongy-atsimo,vondrozo,befotaka,brickaville,anosibe-an'ala,mitsinjo,mahajanga ii,analalava,kandreho,antsalova,beroroha,betioky atsimo,beloha,ambovombe-androy,bekily,mahabo,miandrivazo,ambilobe,antalaha,vohemar,ambohidratrimo,ankazobe,anjozorobe,betafo,vohibato,manakara atsimo,vohipeno,amparafaravola,ambato boeni,mandritsara,befandriana nord,ankazoabo,benenitra,nosy-be,fenerive est,ambatondrazaka,amboasary-atsimo,ambatofinandrahana,mananara-avaratra,soanierana ivongo,ampanihy ouest,antanambao manampontsy,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,antananarivo renivohitra,port-berge (boriziny-vaovao)
betioky atsimo,betioky atsimo,,betioky atsimo,0,betioky atsimo,0,betioky atsimo,midongy-atsimo,manakara atsimo,betroka,amboasary-atsimo,ambohidratrimo,betafo,faratsiho,arivonimamo,miarinarivo,vohibato,befotaka,brickaville,mitsinjo,beroroha,beloha,bekily,taolagnaro,andramasina,antanifotsy,mandoto,fenoarivobe,nosy-varika,ikongo,iakora,toamasina i,vatomandry,marolambo,sainte marie,antsohihy,bealanana,besalampy,maintirano,toliary-i,ankazoabo,toliary-ii,benenitra,ankazobe,antsirabe i,ambatolampy,antsirabe ii,tsiroanomandidy,fianarantsoa i,ambalavao,ambohimahasoa,ikalamavony,lalangina,isandra,ambositra,ifanadiana,vohipeno,ihosy,ivohibe,vondrozo,mahanoro,toamasina ii,maroantsetra,fenerive est,vavatenina,ambatondrazaka,moramanga,andilamena,mahajanga i,soalala,ambato boeni,marovoay,mahajanga ii,mandritsara,befandriana nord,tsaratanana,kandreho,ambatomainty,antsalova,sakaraha,morondava,mahabo,miandrivazo,antsiranana ii,antsiranana i,nosy-be,antalaha,vohemar,manjakandriana,anjozorobe,fandriana,manandriana,mananjary,farafangana,vangaindrano,anosibe-an'ala,analalava,mampikony,maevatanana,morafenobe,morombe,ampanihy ouest,tsihombe,manja,ambilobe,ambanja,sambava,andapa,soavinandriana,soanierana ivongo,amparafaravola,ambovombe-androy,ambatofinandrahana,belo sur tsiribihina,mananara-avaratra,antananarivo atsimondrano,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,port-berge (boriziny-vaovao)
ifanadiana,ifanadiana,,ifanadiana,0,ifanadiana,0,ifanadiana,fandriana,manandriana,isandra,bealanana,andapa,soavinandriana,lalangina,mananjary,farafangana,andilamena,analalava,tsaratanana,sakaraha,antalaha,manjakandriana,andramasina,faratsiho,mandoto,ikalamavony,iakora,vangaindrano,toamasina i,vavatenina,moramanga,soalala,mandritsara,maevatanana,kandreho,maintirano,ankazoabo,benenitra,manja,morondava,miandrivazo,ambanja,sambava,ankazobe,miarinarivo,fenoarivobe,fianarantsoa i,ambalavao,ambositra,ikongo,ivohibe,vondrozo,befotaka,mahanoro,toamasina ii,mahajanga i,marovoay,mampikony,antsalova,taolagnaro,mahabo,antsirabe i,betafo,antanifotsy,arivonimamo,vohibato,nosy-varika,vohipeno,ihosy,brickaville,vatomandry,marolambo,maroantsetra,mitsinjo,mahajanga ii,befandriana nord,antsohihy,besalampy,ambatomainty,toliary-i,beroroha,toliary-ii,beloha,bekily,betroka,antsiranana i,ambilobe,nosy-be,vohemar,anjozorobe,ambatolampy,antsirabe ii,tsiroanomandidy,sainte marie,fenerive est,amparafaravola,ambatondrazaka,anosibe-an'ala,ambato boeni,morafenobe,morombe,tsihombe,antsiranana ii,ambohimahasoa,ambatofinandrahana,manakara atsimo,midongy-atsimo,soanierana ivongo,ambohidratrimo,mananara-avaratra,betioky atsimo,ampanihy ouest,amboasary-atsimo,ambovombe-androy,antanambao manampontsy,antananarivo avaradrano,belo sur tsiribihina,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
amoron'i mania,ambositra,from commune/fkt vars,moramanga,7,antanambao manampontsy,6,moramanga,morondava,arivonimamo,andramasina,ambohimahasoa,ambositra,fandriana,manandriana,sainte marie,ambatondrazaka,andilamena,maintirano,morombe,ambanja,ambohidratrimo,tsiroanomandidy,lalangina,ifanadiana,farafangana,toamasina i,marolambo,toamasina ii,maroantsetra,vavatenina,ambato boeni,marovoay,mandritsara,analalava,bealanana,maevatanana,tsaratanana,ambatomainty,manja,antalaha,andapa,manjakandriana,ambatolampy,antanifotsy,miarinarivo,soavinandriana,fianarantsoa i,ambalavao,vohibato,isandra,nosy-varika,mananjary,vohipeno,iakora,vangaindrano,midongy-atsimo,befotaka,vatomandry,amparafaravola,anosibe-an'ala,mahajanga i,soalala,mitsinjo,mahajanga ii,antsohihy,mampikony,antsalova,morafenobe,toliary-i,beroroha,ankazoabo,ampanihy ouest,sakaraha,toliary-ii,benenitra,ambovombe-androy,betroka,miandrivazo,antsiranana ii,antsiranana i,ambilobe,sambava,vohemar,ankazobe,anjozorobe,antsirabe i,faratsiho,antsirabe ii,mandoto,fenoarivobe,ambatofinandrahana,manakara atsimo,ikongo,ivohibe,vondrozo,brickaville,mahanoro,soanierana ivongo,betioky atsimo,beloha,tsihombe,taolagnaro,amboasary-atsimo,mahabo,betafo,ikalamavony,ihosy,mananara-avaratra,fenerive est,befandriana nord,kandreho,besalampy,bekily,nosy-be,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
toamasina ii,toamasina ii,,toamasina ii,0,toamasina ii,0,toamasina ii,toamasina i,mahajanga ii,andramasina,antsirabe ii,mahajanga i,tsaratanana,toliary-ii,taolagnaro,antsiranana ii,antsirabe i,miarinarivo,lalangina,ifanadiana,moramanga,soalala,bealanana,toliary-i,antsiranana i,ambatolampy,faratsiho,mandoto,fianarantsoa i,ambalavao,vohibato,ambositra,fandriana,mananjary,farafangana,vatomandry,mahanoro,marolambo,vavatenina,mitsinjo,analalava,mampikony,maevatanana,maintirano,morafenobe,sakaraha,tsihombe,manja,mahabo,miandrivazo,ambilobe,ambanja,sambava,antanifotsy,arivonimamo,soavinandriana,fenoarivobe,ikalamavony,isandra,manandriana,nosy-varika,vohipeno,iakora,vangaindrano,sainte marie,andilamena,ambato boeni,marovoay,mandritsara,antsohihy,besalampy,ambatomainty,antsalova,ankazoabo,morondava,nosy-be,antalaha,andapa,vohemar,ambohidratrimo,ankazobe,manjakandriana,anjozorobe,betafo,tsiroanomandidy,ambohimahasoa,manakara atsimo,ikongo,ihosy,ivohibe,vondrozo,befotaka,brickaville,maroantsetra,fenerive est,soanierana ivongo,amparafaravola,ambatondrazaka,befandriana nord,kandreho,beroroha,morombe,ampanihy ouest,benenitra,beloha,bekily,betroka,amboasary-atsimo,midongy-atsimo,anosibe-an'ala,betioky atsimo,ambovombe-androy,ambatofinandrahana,mananara-avaratra,belo sur tsiribihina,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
maintirano,maintirano,,maintirano,0,maintirano,0,maintirano,fandriana,manandriana,miandrivazo,mandoto,miarinarivo,mananjary,vangaindrano,mahanoro,mitsinjo,mampikony,maevatanana,kandreho,manja,mahabo,antalaha,antsirabe i,betafo,faratsiho,arivonimamo,ambalavao,lalangina,vohibato,isandra,ambositra,ifanadiana,vohipeno,iakora,vondrozo,marolambo,sainte marie,vavatenina,andilamena,marovoay,mandritsara,tsaratanana,antsalova,ankazoabo,sakaraha,benenitra,taolagnaro,andapa,ankazobe,manjakandriana,ambatolampy,antsirabe ii,soavinandriana,ikongo,farafangana,befotaka,toamasina i,vatomandry,maroantsetra,moramanga,mahajanga i,analalava,antsohihy,bealanana,ambatomainty,betroka,morondava,antsiranana i,ambilobe,ambanja,sambava,ambohidratrimo,anjozorobe,andramasina,antanifotsy,fenoarivobe,fianarantsoa i,ambohimahasoa,ikalamavony,ihosy,ivohibe,toamasina ii,amparafaravola,soalala,ambato boeni,mahajanga ii,morafenobe,toliary-i,beroroha,morombe,beloha,tsihombe,bekily,antsiranana ii,nosy-be,vohemar,nosy-varika,manakara atsimo,midongy-atsimo,brickaville,ambatondrazaka,besalampy,toliary-ii,ambatofinandrahana,fenerive est,soanierana ivongo,anosibe-an'ala,befandriana nord,betioky atsimo,ampanihy ouest,tsiroanomandidy,mananara-avaratra,ambovombe-androy,amboasary-atsimo,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,antananarivo renivohitra,antanambao manampontsy,port-berge (boriziny-vaovao)
morombe,morombe,,morombe,0,morombe,0,morombe,marolambo,tsihombe,nosy-be,ivohibe,moramanga,marovoay,morafenobe,morondava,mahabo,ambilobe,vohemar,ankazobe,anjozorobe,mandoto,ikongo,ihosy,iakora,vondrozo,soalala,beroroha,beloha,betroka,manja,betafo,fenoarivobe,vohibato,isandra,ambositra,vohipeno,befotaka,mahanoro,mitsinjo,ankazoabo,bekily,ambanja,sambava,andapa,ambatolampy,faratsiho,ambalavao,fandriana,mananjary,vatomandry,maroantsetra,ambato boeni,antsohihy,mampikony,kandreho,besalampy,toliary-i,sakaraha,toliary-ii,antalaha,andramasina,antsirabe i,arivonimamo,miarinarivo,lalangina,manandriana,andilamena,mandritsara,analalava,bealanana,ambatomainty,antsalova,maintirano,benenitra,taolagnaro,miandrivazo,antanifotsy,antsirabe ii,ambohimahasoa,ikalamavony,ifanadiana,nosy-varika,farafangana,toamasina i,brickaville,sainte marie,fenerive est,vavatenina,mahajanga i,maevatanana,tsaratanana,ambovombe-androy,ambohidratrimo,toamasina ii,ambatondrazaka,mahajanga ii,manjakandriana,soavinandriana,tsiroanomandidy,fianarantsoa i,vangaindrano,midongy-atsimo,amparafaravola,anosibe-an'ala,ampanihy ouest,antsiranana i,manakara atsimo,betioky atsimo,amboasary-atsimo,antsiranana ii,soanierana ivongo,ambatofinandrahana,mananara-avaratra,befandriana nord,belo sur tsiribihina,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
analalava,analalava,,analalava,0,analalava,0,analalava,antsalova,antalaha,ambalavao,soalala,bealanana,andilamena,sakaraha,sambava,andapa,ankazobe,andramasina,ikalamavony,lalangina,fandriana,manandriana,ifanadiana,mananjary,farafangana,maevatanana,tsaratanana,ankazoabo,morondava,ambanja,ambatolampy,isandra,ambositra,iakora,befotaka,mahanoro,marolambo,vavatenina,moramanga,mahajanga i,mandritsara,antsohihy,besalampy,beloha,taolagnaro,manja,mahabo,ambilobe,manjakandriana,anjozorobe,antsirabe i,betafo,antanifotsy,faratsiho,mandoto,miarinarivo,vohibato,vangaindrano,toamasina i,vatomandry,amparafaravola,marovoay,mahajanga ii,kandreho,maintirano,toliary-i,beroroha,benenitra,bekily,betroka,miandrivazo,antsiranana i,nosy-be,vohemar,antsirabe ii,arivonimamo,soavinandriana,fenoarivobe,fianarantsoa i,ambohimahasoa,nosy-varika,manakara atsimo,ikongo,vohipeno,ihosy,ivohibe,vondrozo,toamasina ii,sainte marie,maroantsetra,ambatondrazaka,anosibe-an'ala,mitsinjo,mampikony,ambatomainty,morafenobe,morombe,toliary-ii,tsihombe,antsiranana ii,brickaville,mananara-avaratra,ambato boeni,fenerive est,ambohidratrimo,tsiroanomandidy,ambatofinandrahana,midongy-atsimo,soanierana ivongo,befandriana nord,ampanihy ouest,amboasary-atsimo,betioky atsimo,ambovombe-androy,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
ivohibe,ivohibe,,ivohibe,0,ivohibe,0,ivohibe,vohibato,vohipeno,ikongo,ihosy,morombe,tsihombe,mahabo,nosy-be,vohemar,ankazobe,isandra,iakora,antsohihy,beloha,bekily,ambilobe,anjozorobe,betafo,mandoto,arivonimamo,fenoarivobe,ambositra,vondrozo,befotaka,marolambo,soalala,marovoay,mitsinjo,beroroha,betroka,manja,ambanja,sambava,andapa,antsirabe i,faratsiho,lalangina,fandriana,ifanadiana,brickaville,mahanoro,vavatenina,mampikony,kandreho,morafenobe,toliary-i,ankazoabo,sakaraha,benenitra,morondava,antalaha,antsirabe ii,miarinarivo,ambalavao,nosy-varika,mananjary,vatomandry,moramanga,andilamena,analalava,bealanana,besalampy,antsalova,maintirano,toliary-ii,taolagnaro,miandrivazo,andramasina,ambatolampy,antanifotsy,ambohimahasoa,ikalamavony,manandriana,toamasina i,sainte marie,maroantsetra,fenerive est,anosibe-an'ala,ambato boeni,mandritsara,maevatanana,ambatomainty,ambohidratrimo,farafangana,vangaindrano,midongy-atsimo,toamasina ii,mahajanga i,tsaratanana,soavinandriana,tsiroanomandidy,mahajanga ii,betioky atsimo,ampanihy ouest,antsiranana i,manjakandriana,fianarantsoa i,ambatondrazaka,ambovombe-androy,antsiranana ii,manakara atsimo,amparafaravola,amboasary-atsimo,soanierana ivongo,befandriana nord,ambatofinandrahana,mananara-avaratra,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,antanambao manampontsy,port-berge (boriziny-vaovao)
ambanja,ambanja,,ambanja,0,ambanja,0,ambanja,manja,sambava,ambalavao,mananjary,andapa,isandra,ambositra,mahanoro,moramanga,mahabo,ambilobe,antalaha,ankazobe,betafo,ambatolampy,mandoto,lalangina,fandriana,ikongo,iakora,soalala,marovoay,mitsinjo,analalava,bealanana,antsalova,ankazoabo,sakaraha,beloha,betroka,vohibato,manandriana,ifanadiana,ihosy,ivohibe,farafangana,befotaka,vatomandry,marolambo,vavatenina,andilamena,mahajanga i,mampikony,maevatanana,tsaratanana,kandreho,ambatomainty,beroroha,morombe,benenitra,bekily,taolagnaro,morondava,nosy-be,vohemar,andramasina,antanifotsy,faratsiho,arivonimamo,ambohimahasoa,vohipeno,vangaindrano,vondrozo,toamasina i,maroantsetra,ambatondrazaka,ambato boeni,mahajanga ii,antsohihy,besalampy,maintirano,morafenobe,toliary-i,tsihombe,miandrivazo,anjozorobe,antsirabe i,miarinarivo,ikalamavony,nosy-varika,toamasina ii,anosibe-an'ala,mandritsara,toliary-ii,antsiranana i,ambohidratrimo,manjakandriana,antsirabe ii,soavinandriana,fenoarivobe,fianarantsoa i,brickaville,sainte marie,amparafaravola,ampanihy ouest,antsiranana ii,ambovombe-androy,amboasary-atsimo,tsiroanomandidy,ambatofinandrahana,manakara atsimo,midongy-atsimo,fenerive est,mananara-avaratra,befandriana nord,betioky atsimo,soanierana ivongo,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
bekily,bekily,,bekily,0,bekily,0,bekily,betafo,beloha,ihosy,iakora,besalampy,betroka,ikongo,ivohibe,befotaka,soalala,beroroha,benenitra,manja,mahabo,ambilobe,andapa,ankazobe,mandoto,vohibato,isandra,ambositra,vohipeno,brickaville,marovoay,mitsinjo,antsohihy,bealanana,mampikony,toliary-i,morombe,sakaraha,nosy-be,ambanja,antalaha,sambava,vohemar,ambatolampy,faratsiho,ambalavao,lalangina,fandriana,mananjary,vondrozo,mahanoro,marolambo,vavatenina,andilamena,analalava,kandreho,antsalova,ankazoabo,toliary-ii,tsihombe,antanifotsy,fenoarivobe,ikalamavony,ifanadiana,vatomandry,moramanga,ambatomainty,maintirano,morafenobe,morondava,anjozorobe,andramasina,antsirabe i,antsirabe ii,arivonimamo,miarinarivo,manandriana,nosy-varika,toamasina i,fenerive est,mandritsara,maevatanana,betioky atsimo,taolagnaro,miandrivazo,ambohimahasoa,farafangana,vangaindrano,toamasina ii,sainte marie,anosibe-an'ala,mahajanga i,ambato boeni,tsaratanana,ambohidratrimo,manjakandriana,maroantsetra,mahajanga ii,ampanihy ouest,antsiranana i,soavinandriana,tsiroanomandidy,manakara atsimo,midongy-atsimo,amparafaravola,ambatondrazaka,befandriana nord,ambovombe-androy,antsiranana ii,fianarantsoa i,amboasary-atsimo,soanierana ivongo,ambatofinandrahana,mananara-avaratra,belo sur tsiribihina,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
